"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","61","2","66.9","8.537564055396597","2","0"
"fully connected","normal","100","25","61","3","76.05","8.4170956986362","3","0"
"fully connected","normal","100","25","61","4","78.53333333333333","8.61677949635993","4","0"
"fully connected","normal","100","25","61","5","77.8","8.997777503361595","5","0"
"fully connected","normal","100","25","62","0","0","0","0","0"
"fully connected","normal","100","25","62","1","45.7","8.044252606675153","1","0"
"fully connected","normal","100","25","62","2","66.75","10.473180032826706","2","0"
"fully connected","normal","100","25","62","3","74.1","9.142756695876797","3","0"
"fully connected","normal","100","25","62","4","74","7.890923055426828","4","0"
"fully connected","normal","100","25","62","5","74.72727272727273","6.968642871540655","5","0"
"fully connected","normal","100","25","62","6","75.6","5.953150426454887","6","0"
"fully connected","normal","100","25","62","7","73","2.160246899469287","7","0"
"fully connected","normal","100","25","63","0","0","0","0","0"
"fully connected","normal","100","25","63","1","46.1","5.726255320888163","1","0"
"fully connected","normal","100","25","63","2","67.8","8.065977932030313","2","0"
"fully connected","normal","100","25","63","3","75.2","7.896834808959853","3","0"
"fully connected","normal","100","25","63","4","77.21428571428571","6.710105081448549","4","0"
"fully connected","normal","100","25","63","5","78","3.9370039370059056","5","0"
"fully connected","normal","100","25","63","6","84","N/A","6","N/A"
"fully connected","normal","100","25","64","0","0","0","0","0"
"fully connected","normal","100","25","64","1","47.15","7.185227901743966","1","0"
"fully connected","normal","100","25","64","2","67.95","8.593456813180596","2","0"
"fully connected","normal","100","25","64","3","75.85","7.418052305019155","3","0"
"fully connected","normal","100","25","64","4","78.25","7.790218225441442","4","0"
"fully connected","normal","100","25","64","5","81.75","7.693341276714559","5","0"
